id,cidade,uf,lat,lon,lat_dec,lon_dec
6,Campo Grande,MS,"20º 26' 34"" S","054º 38' 47"" O",-20.443,-54.646
7,Cuiabá,MT,"15º 35' 46"" S","056º 05' 48"" O",-15.596,-56.097
8,Curitiba,PR,"25º 25' 40"" S","049º 16' 23"" O",-25.428,-49.273
9,Florianópolis,SC,"27º 35' 48"" S","048º 32' 57"" O",-27.597,-48.549
10,Fortaleza,CE,"03º 43' 02"" S","038º 32' 35"" O",-3.717,-38.543
11,Goiânia,GO,"16º 40' 43"" S","049º 15' 14"" O",-16.679,-49.254
12,João Pessoa,PB,"07º 06' 54"" S","034º 51' 47"" O",-7.115,-34.863
